manufacturer_id,manufacturer_name
9428,LYRIC PHARMACEUTICALS  INC
10288,CANFITE BIOPHARMA LIMITED
10331,MADRIGAL PHARMACEUTICALS INC
10342,JOHAN VAN LIMBERGEN
7778,THRASOS INNOVATION INC
8686,"FUJIFILM KYOWA KIRIN BIOLOGICS CO, LTD"
9495,GLOBAL BLOOD THERAPEUTICS INC
9503,IXALTIS
10360,ORCA THERAPEUTICS B.V.
10369,FULCRUM THERAPEUTICS
10383,MEMORIAL UNIVERSITY
10384,UPTRU INC.
10410,"QED THERAPEUTICS, INC."
7824,DR DENIS O'DONNELL
7845,DR RICHARD BRULL
8697,BIOBLAST PHARMA LTD
8740,POLYNOMA LLC
9556,PRINCESS MARGARET PHASE I CONSORTIUM
10485,"BAUSCH HEALTH AMERICAS, INC."
10557,SALSPERA LLP
8748,MERZ PHARMA CANADA LTD
8755,CTI BIOPHARMA CORP
8758,DR. EBERHARD RENNER
8763,NSABP FOUNDATION INC
8789,"THERAPEUTICSMD, INC"
9566,LAURENT PHARMACEUTICALS
9607,MYELOMA CANADA RESEARCH NETWORK
9618,DR BEVERLY CATHARINE CRAVEN
10921,GENOVA INC.
7910,GRIFOLS THERAPEUTICS INC
10052,ESCALIER BIOSCIENCES B.V.
10069,"MYCOVIA PHARMACEUTICALS, INC."
10093,INSYS DEVELOPMENT COMPANY INC
12249,ONCOVERITY INC
12438,"INTELLIA THERAPEUTICS, INC."
12817,GLOBAL ALZHEIMER'S PLATFORM FOUNDATION
12898,"DISC MEDICINE, INC."
12823,HYLORIS DEVELOPMENTS SA
13048,"ELION THERAPEUTICS, INC."
12224,TRIO FERTILITY INC
12422,PSYCHEDELIC RESEARCH CONSULTANTS INC.
12471,ARAMIS BIOTECHNOLOGIES
12243,"AKERO THERAPEUTICS, INC"
12507,DR SARAH HALES
9733,UNIVERSITY OF NEW BRUNSWICK
10631,MUNDIPHARMA RESEARCH LIMITED
10646,X4 PHARMACEUTICALS INCORPORATED
8144,ABBVIE CORPORATION
8907,TENSHA THERAPEUTICS INC
9774,NORTHERN BIOLOGICS
9775,IDORSIA PHARMACEUTICALS LTD
9803,BIOVERATIV USA INC
8197,STANDARD PROCESS INC
8957,TOCAGEN INC
8991,"BC CANCER, PART OF THE PROVINCIAL HEALTH SERVICES AUTHORITY - VANCOUVER CENTER"
9838,UROGEN PHARMA LTD
9844,ZAMBON SPA
9845,CORBUS PHARMACEUTICALS INC
9851,DR. LOUIS-PHILIPPE BOULET
9855,DR STEPHANIE LHEUREUX
9873,TIGENIX S.A.U.
9876,ONCOSEC MEDICAL INCORPORATED
10669,DR ANTHONY V D'AMICO
10689,DR. JOSHUA D. ROSENBLAT
10748,ANAVEX CANADA LTD.
10762,ASSISTANCE PUBLIQUE - HÔPITAUX DE PARIS
8232,CENTRE DE RECHERCHE DU CHU DE QUEBEC
