med_condition_id,med_condition
881,DIARRHEA
598,CORONARY ARTERY DISEASE
930,GLYCOGEN STORAGE DISEASE TYPE IA
1027,OPEN ANGLE GLAUCOMA
83,FAMILIAL HYPERCHOLESTEROLEMIA
1045,PRIMARY SCLEROSING CHOLANGITIS (PSC)
922,HYPEROXALURIA
1185,HER2 POSITIVE ADVANCED GASTROESOPHAGEAL ADENOCARCINOMA
465,HIP ARTHROPLASTY
723,B-CELL NON-HODGKIN'S LYMPHOMA
929,VITILIGO
758,POLYMYALGIA RHEUMATICA
975,ALLERGIES
1176,MESOTHELIOMA
500,PRE- AND POST-CAPILLARY PULMONARY HYPERTENSION (CPCPH)
1197,IDIOPATHIC SHORT STATURE
1087,AORTIC VALVE STENOSIS
1113,DIFFUSE CUTANEOUS SYSTEMIC SCLEROSIS
541,PAPILLARY RENAL CELL CARCINOMA
479,HUNTER SYNDROME
938,PSYCHOSIS
640,EPSTEIN-BARR VIRUS (EBV) INFECTION
1190,LONG COVID
266,VIRAL GASTROENTERITIS
1218,PROPIONIC ACIDEMIA
1129,MUCOPOLYSACCHARIDOSIS TYPE II (MPS II)
76,EPENDYMOMA
1054,RETINOBLASTOMA
1112,HERPES SIMPLEX VIRUS (HSV)
1052,ISCHEMIC MITRAL INSUFFICIENCY
1116,INVASIVE PULMONARY ASPERGILLOSIS
77,NEUROGENIC DETRUSOR OVERACTIVITY
414,ALBUMINURIA
440,LYMPHOID MALIGNANCIES
125,HYPOGONADAL
221,RENAL INSUFFICIENCY
153,MALIGNANT PLEURAL MESOTHELIOMA
537,UNCONTROLLED BLEEDING
265,VASCULAR DISEASE
580,MICROSCOPIC POLYANGITIS
93,GOUT
705,INHERITED THROMBOPHILIA
494,SMOLDERING SYSTEMIC MASTOCYTOSIS
273,SECONDARY HYPERPARATHYROIDISM
578,ACHILLES TENDINOSIS
544,CHRONIC PHASE OR ACCELERATED PHASE CHRONIC MYELOID LEUKEMIA
512,NON-SQUAMOUS CARCINOMA OF THE LUNG
383,SOFT TISSUE DEFECTS
1127,ACUTE RESPIRATORY FAILURE
642,PERSONALITY DISORDER
1274,PNEUMONITIS
1144,FONTAN CIRCULATION
877,MAJOR ADVERSE KIDNEY EVENTS
754,OSTEONECROSIS
1161,NOTALGIA PARESTHETICA
1188,DENSE BREASTS
1108,PANIC DISORDER
746,ALCOHOLIC HEPATITIS (AH)
1174,INCLUSION BODY MYOSITIS
336,ANEURYSMAL SUBARACHNOID HEMORRHAGE
1060,CONGENITAL ADRENAL HYPERPLASIA
1058,DYSLEXIA
959,BETA-THALASSEMIA
1051,DIGITAL NERVE LACERATION
1223,ACID SPHINGOMYELINASE DEFICIENCY
1034,CIRCULATING TUMOR DNA (CTDNA) POSITIVE
1209,INFANTILE KRABBE DISEASE (GLOBOID CELL LEUKODYSTOPHY)
912,IDIOPATHIC INTRACRANIAL HYPERTENSION
778,CORNEAL MELT
981,PLASMA CELL DISORDERS
987,SARCOIDOSIS-ASSOCIATED PULMONARY HYPERTENSION
1008,VULVODYNIA
206,POST-STROKE SPASTICITY OF LOWER LIMB
1017,APLHA-MANNOSIDOSIS
915,TRANSPOSITION OF THE GREAT ARTERIES (TGA)
917,CEREBRAL EDEMA
905,ORAL CAVITY CANCER
652,ACUTE OPTIC NEURITIS
707,SHOULDER REPLACEMENT
609,GNE MYOPATHY (GNEM)
60,ACUTE OTITIS EXTERNA
744,BIPOLAR POSTPARTUM DEPRESSION
749,NUT MIDLINE CARCINOMA (NMC)
611,AGGRESSIVE FIBROMATOSIS
1283,GRAVE'S DISEASE
1317,HAEMOPHILUS INFLUENZAE SEROTYPE A
1301,IMMUNOTHERAPY-RELATED HEPATITIS
1331,HIGH-RISK ALCOHOL USE
1347,HEMOCHROMATOSIS
1341,CANCER ASSOCIATED CACHEXIA
1272,VEXAS SYNDROME
154,MELANOMA
289,HERPES ZOSTER
806,HEPATIC STEATOSIS
810,X-LINKED MYOTUBULAR MYOPATHY
650,METASTATIC PANCREATIC DUCTAL ADENOCARCINOMA
821,HEPATITIS B
837,FRACTURES
90,GLIOBLASTOMA
278,SOLID TUMORS
771,HYPOGLYCEMIA UNAWARENESS
392,EPILEPSY
268,VON WILLEBRAND DISEASE
818,BRONCHOCONSTRICTION
343,CASTRATION RESISTANT PROSTATE CANCER
968,KIDNEY TRANSPLANT REJECTION
351,AUTISM SPECTRUM DISORDER
782,ARTICULAR CARTILAGE DEFECT
196,PLAQUE PSORIASIS
311,SYSTEMIC LUPUS ERYTHEMATOSUS
787,LI-FRAUMENI SYNDROME
784,VITREOUS HEMORRHAGE
799,RHINOSINUSITIS
318,NONSENSE MUTATION DYSTROPHINOPATHY
788,NEUROCOGNITIVE DISORDERS
401,PANCREATIC ADENOCARCINOMA
49,COLON CANCER
619,GASTROESOPHAGEAL JUNCTION CANCER
460,MEDULLOBLASTOMA
590,HEMORRHAGE
603,COMMON COLD
673,AXIAL SPONDYLARTHRITIS
433,ATRIAL FIBRILLATION
456,CHRONIC KIDNEY DISEASE (CKD)
831,HEPATIC IMPAIRMENT
74,ENDOMETRIOSIS
199,POLYCYTHEMIA VERA (PV)
856,CHARCOT-MARIE-TOOTH DISEASE TYPE 1A
833,TONSILLECTOMY
345,CHRONIC HEPATITIS B
692,PRIMARY PERITONEAL CANCER
573,OCULOPHARYNGEAL MUSCULAR DYSTROPHY (OPMD)
51,COLORECTAL CARCINOMA
520,ACTINIC KERATOSIS
482,OSTEOARTHRITIS
863,HYPOACTIVE SEXUAL DESIRE
1207,ISOLATED CERVICAL DYSTONIA
800,VIRUS-ASSOCIATED CANCER
1020,METASTATIC CANCERS
111,HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA
85,FRAGILE X SYNDROME
648,THROMBOTIC THROMBOCYTOPENIC PURPURA
87,GAUCHER DISEASE TYPE 1
576,IRRITABLE BOWEL SYNDROME
1120,ICHTHYOSIS
1191,CROUP
658,APPENDICITIS
600,LIPOSARCOMA
302,NAUSEA AND VOMITING
535,TRANSFUSION DEPENDENT THALASSEMIA
430,NEUROFIBROMATOSIS TYPE I
954,RETINITIS PIGMENTOSA (RP)
296,MIXED DYSLIPIDEMIA
88,"GENERALIZED MYASTHENIA GRAVIS (MG)."""
1198,SMALL FOR GESTATIONAL AGE
735,GERM CELL TUMOUR
330,GIANT CELL ARTERITIS
1089,MYOTONIC DYSTROPHY
1088,GAUCHER DISEASE TYPE 3
1048,RETT SYNDROME
244,SUBACUTE CUTANEOUS LUPUS ERYTHEMATOSUS
1083,PHENYLKETONURIA
697,SHORT BOWEL SYNDROME
1157,PULMONARY ASPERGILLOSIS
1082,MYOCARDIAL RECOVERY
980,MENOPAUSE-RELATED VASOMOTOR SYMPTOMS
1205,NEURONAL CEROID LIPOFUSCINOSIS TYPE 1 (CLN1)
1213,DIPHTHERIA
581,ADENOVIRUS
921,ANAL CANCER
490,CARCINOID SYNDROME
1155,URTICARIA
752,SUBUNGUAL ONYCHOMYCOSIS (DSO)
22,AUTOIMMUNE DISEASE
26,BRAF MUTATION-POSITIVE TUMORS
281,THROMBOLYSIS
1251,ENDOCARDITIS
1261,GYNECOLOGICAL CANCER
1154,IDIOPATHIC HYPERSOMNIA
1172,"LOWER LEG ANTEROLATERAL CHRONIC EXERTIONAL COMPARTMENT SYNDROME"
1285,METABOLIC DYSFUNCTION-ASSOCIATED STEATOHEPATITIS
1069,22Q11 DELETION SYNDROME
1138,AUTOIMMUNE ENCEPHALITIS
1141,CHRONIC DIABETIC PERIPHERAL NEUROPATHIC PAIN
1156,PLANTAR WARTS
1143,PRION DISEASE
1253,FOCAL CEREBRAL ARTERIOPATHY
1043,GASTRO-OESOPHAGEAL CANCER
156,MENINGITIS B
1055,WHIM SYNDROME
1262,HEMATURIA
1056,EPITHELIOID SARCOMA
114,HIP PAIN
970,LATERAL CANTHAL LINES
1049,MYOTUBULAR MYOPATHY
991,NAUSEA
962,MALIGNANT PLEURAL EFFUSION
1021,CANCER SURVIVORS
1033,NODAL SOLID TUMORS
911,RIB FRACTURES
638,ANAPLASTIC ASTROCYTOMA
760,URINARY TRACT CARCINOMA
1014,ADVERSE VASCULAR EVENTS
998,MESOTHELIN-EXPRESSING CANCER
314,METASTATIC MALIGNANCY
979,GIANT CELL TUMOR OF BONE
931,EPSTEIN-BARR VIRUS - ASSOCIATED POST TRANSPLANT LYMPHOPROLIFERATIVE DISEASE
966,CONGENITAL ACHROMATOPSIA
908,ORAL MUCOSITIS
644,POST-CONCUSSION SYNDROME
267,VITAMIN DEFICIENCY
551,PREVENTION OF ACUTE RENAL INJURY
667,ALPHA1-PROTEINASE INHIBITOR DEFICIENT
666,ADENOCARCINOMA OF THE STOMACH
755,HEPATORENAL SYNDROME TYPE 1
717,GLYCEMIA
585,PEMPHIGUS VULGARIS
1322,GASTROENTEROPANCREATIC NEUROENDOCRINE TUMORS (GEP-NET)
1304,CALCIPHYLAXIS
1314,METABOLIC DYSFUNCTION-ASSOCIATED STEATOTIC LIVER DISEASE (MASLD)
1336,ALLOGENEIC STEM CELL TRANSPLANT
1338,RELAPSED / REFRACTORY AUTOIMMUNE NERUOLOGIC DISEASES
124,HYPERTENSION
625,BLADDER CANCER
186,PAIN
317,MYELODYSPLASTIC SYNDROME
432,DIABETIC GASTROPARESIS
21,ATYPICAL HEMOLYTIC UREMIC SYNDROME (AHUS)
37,CARDIOVASCULAR DISEASE
855,OBESITY
14,ALZHEIMER'S DISEASE
167,MULTIPLE MYELOMA
862,NECROTIZING ENTEROCOLITIS
887,BRONCHIOLITIS
366,METASTATIC ENDOMETRIAL CANCER
10,ADVANCED CANCERS
894,CANCER PAIN
185,OVERACTIVE BLADDER
795,PARATHYROID ADENOMA
835,AGGRESSION
218,PULMONARY ARTERIAL HYPERTENSION (PAH)
255,TRANSPLANTATION
3,ACTIVE ANKYLOSING SPONDYLITIS
370,GRAFT VS HOST DISEASE
187,PANCREATIC CANCER
542,TRANSTHYRETIN AMYLOID CARDIOMYOPATHY
217,PSORIATIC ARTHRITIS
148,LYMPHOBLASTIC LEUKEMIA
150,DIFFUSE LARGE B-CELL LYMPHOMA
766,CONGENITAL HYPERINSULINEMIA
834,CARDIOMYOPATHY
584,ANTIPHOSPHOLIPID SYNDROME
745,ALPORT SYNDROME
65,DIABETIC NEPHROPATHY
901,PENILE CANCER
321,SPINAL MUSCULAR ATROPHY
501,BIPOLAR DISORDER
572,HEREDITARY HAEMORRHAGIC TELANGIECTASIA
