protocol_id,submission_no,brand_id,manufacturer_id,manufacturer_name,brand_name
59369,248982,235748,5538,NORTHERN THERAPEUTICS INC.,"CRYOPRESERVED, GENETICALLY MODIFIED ALLOGENEIC MESENCHYMAL STROMAL CELLS"
57047,241100,227528,4091,GLAXOSMITHKLINE INC,GSK3845097 / GSK3901961
57527,242687,229223,10958,GALECTIN THERAPEUTICS INC,BELAPECTIN (GR-MD-02)
56155,238201,224514,6987,HAMILTON HEALTH SCIENCES CORPORATION,APHERESIS FROZEN PLASMA FROM RECOVERED COVID-19 PATIENTS (CONVALESCENT PLASMA)
56589,239597,225972,1401,BAYER AG,BAY 86-5321 (HIGH-DOSE AFLIBERCEPT) / AFLIBERCEPT
56393,238935,225287,10545,"GALDERMA RESEARCH & DEVELOPMENT, LLC",NEMOLIZUMAB (CD14152)
59285,248696,235449,5552,LAWSON HEALTH RESEARCH INSTITUTE,SY-005 (RECOMBINANT HUMAN ANNEXIN A5)
60421,252058,238986,10981,"ALTIMMUNE, INC.",ADCOVID VACCINE
55046,234755,220906,11542,ALIMENTIV INC.,ENTYVIO (VEDOLIZUMAB)
56647,239776,226160,7628,MERCK CANADA INC,PEMBROLIZUMAB (MK-3475) / LENVATINIB (MK-7902)
58543,246203,232830,10047,DR. RODRIGO B. MANSUR,RYBELSUS (SEMAGLUTIDE)
55704,236647,222906,4034,ROBARTS RESEARCH INSTITUTE,HYPERPOLARIZED XENON-129/ QVM149
63397,260421,247839,11182,SEAGEN INC.,SGN-B7H4V
62631,258571,245873,6740,PTC THERAPEUTICS INC,VATIQUINONE (PTC743)
62638,258584,245886,8638,NRG ONCOLOGY,CISPLATIN
59734,249395,236198,6045,UCB INC,BIMEKIZUMAB
59996,250948,237814,11055,"VIR BIOTECHNOLOGY, INC.",VIR-7831 (GSK4182136)
56505,236198,222408,1954,BAYER INC,DAROLUTAMIDE (BAY 1841788)
59308,248767,235523,11391,DR. MARC TEWFIK,PREDNISONE
54955,234477,220617,4332,UNIVERSITY OF CALGARY,HALOPERIDOL
55308,235458,221644,10600,COLLABORATIVE NETWORK FOR NEURO-ONCOLOGY CLINICAL TRIALS (CONNECT),LAROTRECTINIB / ETOPOSIDE
55934,237397,223687,28,HOFFMANN-LA ROCHE LIMITED,ACTEMRA
59037,247336,234015,11182,SEAGEN INC.,TISOTUMAB VEDOTIN
59186,248394,235133,11264,REZOLUTE INC.,RZ358
59889,250598,237452,7628,MERCK CANADA INC,MK-3475 (PEMBROLIZUMAB)
59162,248323,235060,7263,OTTAWA HOSPITAL RESEARCH INSTITUTE,NIASTASE
56989,240904,227324,7516,JANSSEN INC,JNJ-64407564 / JNJ-64007957 / JNJ-54767414
57587,242857,229397,7516,JANSSEN INC,NIRAPARIB-ABIRATERONE ACETATE (JNJ-67652000) / NIRAPARIB / ABIRATERONE ACETATE
59913,249142,235917,10155,PFIZER CANADA ULC,ENCORAFENIB (LGX818)/ BINIMETINIB (MEK162)
59531,249428,236231,4543,CHILDRENS ONCOLOGY GROUP,SELUMETINIB / VINBLASTINE
59862,250473,237311,10088,"APELLIS PHARMACEUTICALS, INC",PEGCETACOPLAN (APL-2)
59950,250762,237621,4091,GLAXOSMITHKLINE INC,"RESPIRATORY SYNCYTIAL VIRUS (RSV) VACCINE BASED ON THE RSV VIRAL PROTEINS F, N AND M2-1 ENCODED BY CHIMPANZEEDERIVED ADENOVECTOR (CHAD155-RSV) (GSK3389245A)"
